alpha2,alpha3,econ13_macro_f1,classes_alive,crop_macro_f1_flat,flat15_macro_f1,accuracy,kappa,econ13_macro_precision,econ13_macro_recall
0.7,0.1,0.2203,13,0.1854,0.2611,0.7364,0.5772,0.2152,0.2527
0.7,0.2,0.226,13,0.1895,0.2647,0.7455,0.5876,0.2203,0.2525
0.7,0.3,0.2304,13,0.1929,0.2676,0.752,0.595,0.2258,0.2504
0.7,0.4,0.2345,13,0.1961,0.2704,0.7566,0.6002,0.2321,0.2485
0.7,0.45,0.2364,13,0.1976,0.2717,0.7583,0.6021,0.2359,0.2475
0.7,0.5,0.2377,13,0.1988,0.2727,0.7598,0.6037,0.2395,0.2461
0.7,0.55,0.2389,13,0.2,0.2738,0.761,0.605,0.2439,0.2448
0.7,0.552,0.239,13,0.2001,0.2738,0.7611,0.605,0.2441,0.2447
0.7,0.6,0.2403,13,0.2014,0.275,0.762,0.6061,0.25,0.2438
0.7,0.65,0.2409,13,0.2022,0.2756,0.7629,0.6069,0.2554,0.2425
0.7,0.7,0.2412,13,0.2028,0.2762,0.7636,0.6077,0.2601,0.2413
0.7,0.8,0.2412,13,0.2036,0.2769,0.7648,0.6088,0.2714,0.2388
0.7,0.858,0.2405,13,0.2034,0.2767,0.7653,0.6092,0.2729,0.2372
0.7,0.9,0.2401,13,0.2034,0.2767,0.7656,0.6095,0.2789,0.2363
0.7,1.0,0.2394,13,0.2035,0.2768,0.7662,0.6099,0.2987,0.2343
0.8,0.0,0.2166,13,0.1833,0.2592,0.7271,0.5651,0.2225,0.2452
0.8,0.1,0.223,13,0.1879,0.2633,0.7401,0.5798,0.2267,0.2458
0.8,0.2,0.2286,13,0.1921,0.2669,0.7494,0.5905,0.2318,0.2454
0.8,0.3,0.233,13,0.1954,0.2697,0.7561,0.5982,0.2374,0.2432
0.8,0.4,0.2368,13,0.1983,0.2723,0.7609,0.6035,0.2437,0.2412
0.8,0.45,0.2386,13,0.1998,0.2736,0.7627,0.6055,0.2482,0.2402
0.8,0.5,0.2396,13,0.2008,0.2744,0.7642,0.6072,0.2514,0.2387
0.8,0.55,0.2407,13,0.2019,0.2754,0.7655,0.6085,0.2568,0.2375
0.8,0.552,0.2408,13,0.2019,0.2754,0.7655,0.6086,0.2569,0.2374
0.8,0.6,0.2419,13,0.2031,0.2764,0.7666,0.6097,0.2642,0.2364
0.8,0.65,0.2425,13,0.2038,0.2771,0.7675,0.6106,0.2712,0.2352
0.8,0.7,0.2428,13,0.2044,0.2776,0.7682,0.6114,0.2754,0.234
0.8,0.8,0.2428,13,0.2051,0.2782,0.7695,0.6125,0.2862,0.2315
0.8,0.858,0.2421,13,0.2048,0.2779,0.77,0.613,0.2874,0.2299
0.8,0.9,0.2418,13,0.2049,0.278,0.7704,0.6133,0.2975,0.229
0.8,1.0,0.241,13,0.2048,0.2779,0.771,0.6139,0.3264,0.2269
0.858,0.0,0.2168,13,0.1839,0.2598,0.7286,0.5659,0.2296,0.2403
0.858,0.1,0.2231,13,0.1886,0.2639,0.7417,0.5807,0.2339,0.2409
0.858,0.2,0.2287,13,0.1927,0.2674,0.7512,0.5915,0.239,0.2404
0.858,0.3,0.2329,13,0.1959,0.2702,0.758,0.5993,0.2445,0.2383
0.858,0.4,0.2365,13,0.1987,0.2726,0.7628,0.6047,0.2506,0.2363
0.858,0.45,0.2383,13,0.2001,0.2738,0.7647,0.6068,0.2551,0.2353
0.858,0.5,0.2394,13,0.2011,0.2747,0.7662,0.6085,0.2583,0.234
0.858,0.55,0.2404,13,0.2021,0.2756,0.7675,0.6099,0.2634,0.2328
0.858,0.552,0.2405,13,0.2022,0.2756,0.7676,0.6099,0.2637,0.2327
0.858,0.6,0.2416,13,0.2033,0.2766,0.7686,0.6111,0.2707,0.2317
0.858,0.65,0.2421,13,0.2039,0.2772,0.7696,0.612,0.2759,0.2304
0.858,0.7,0.2425,13,0.2045,0.2777,0.7704,0.6128,0.2799,0.2293
0.858,0.8,0.2425,13,0.2051,0.2782,0.7716,0.614,0.2894,0.2267
0.858,0.858,0.2419,12,0.205,0.2781,0.7722,0.6145,0.2818,0.2252
0.858,0.9,0.2416,12,0.205,0.2781,0.7726,0.6148,0.2871,0.2243
0.858,1.0,0.2409,12,0.2051,0.2781,0.7733,0.6154,0.3,0.2222
0.9,0.0,0.2164,13,0.1841,0.26,0.7295,0.5661,0.235,0.2369
0.9,0.1,0.2228,13,0.1888,0.264,0.7427,0.5811,0.2392,0.2373
0.9,0.2,0.2282,13,0.1928,0.2675,0.7522,0.592,0.2444,0.2367
0.9,0.3,0.2321,13,0.1958,0.2701,0.7591,0.5998,0.2496,0.2345
0.9,0.4,0.2357,13,0.1986,0.2726,0.764,0.6053,0.2558,0.2326
0.9,0.45,0.2375,13,0.2,0.2737,0.7659,0.6074,0.2604,0.2317
0.9,0.5,0.2383,13,0.2008,0.2744,0.7674,0.6091,0.2631,0.2303
0.9,0.55,0.2396,13,0.202,0.2754,0.7688,0.6105,0.2686,0.2292
0.9,0.552,0.2396,13,0.202,0.2755,0.7688,0.6106,0.2688,0.2292
0.9,0.6,0.2407,13,0.203,0.2764,0.7699,0.6117,0.275,0.2281
0.9,0.65,0.2411,13,0.2036,0.2768,0.7708,0.6127,0.2772,0.2268
0.9,0.7,0.2416,13,0.2042,0.2773,0.7716,0.6135,0.2825,0.2257
0.9,0.8,0.2416,12,0.2047,0.2779,0.7729,0.6147,0.2867,0.2232
0.9,0.858,0.2416,12,0.205,0.2781,0.7735,0.6153,0.2895,0.2219
0.9,0.9,0.2413,12,0.2051,0.2781,0.7739,0.6156,0.2932,0.2209
0.9,1.0,0.2406,12,0.2051,0.2782,0.7746,0.6161,0.328,0.2189
1.0,0.0,0.2144,13,0.1836,0.2596,0.731,0.5659,0.2484,0.2289
1.0,0.1,0.2205,13,0.1883,0.2636,0.7443,0.581,0.2527,0.229
1.0,0.2,0.2257,13,0.1922,0.267,0.7541,0.5921,0.2581,0.2281
1.0,0.3,0.2294,13,0.1951,0.2695,0.7611,0.6001,0.2633,0.226
1.0,0.4,0.2326,13,0.1976,0.2717,0.766,0.6056,0.2696,0.224
1.0,0.45,0.2341,13,0.1989,0.2728,0.768,0.6078,0.2741,0.223
1.0,0.5,0.2345,13,0.1992,0.2731,0.7696,0.6095,0.2749,0.2214
1.0,0.55,0.2359,13,0.2004,0.2741,0.771,0.611,0.2808,0.2205
1.0,0.552,0.236,13,0.2005,0.2741,0.771,0.6111,0.281,0.2205
1.0,0.6,0.2371,13,0.2015,0.275,0.7721,0.6122,0.2871,0.2195
1.0,0.65,0.2371,13,0.2015,0.275,0.7731,0.6132,0.2876,0.2179
1.0,0.7,0.2375,12,0.202,0.2755,0.7739,0.6141,0.2891,0.2168
1.0,0.8,0.238,11,0.2028,0.2762,0.7753,0.6154,0.2898,0.2145
1.0,0.858,0.2382,11,0.2034,0.2767,0.7759,0.6159,0.2939,0.2133
1.0,0.9,0.2381,11,0.2035,0.2768,0.7763,0.6162,0.2959,0.2124
1.0,1.0,0.2374,11,0.2036,0.2768,0.777,0.6168,0.3011,0.2103
